"","K","sd","r","metric","nonrankbased","rankbased_asymptotic","rankbased_level2bs","independent","bonferroni"
"1",40,2,0.1,"t1",12.78923,18.07645,10.9312,12.82436,12.84825
"2",40,2,0.1,"t2",11.6197120784935,16.5952284658018,10.0886272848127,11.6533637714823,11.6753720111037
"3",40,2,0.1,"t3",0.65526925,0.52308875,0.70172,0.654391,0.65379375
"4",40,2,0.1,"coverage",0.9462,0.945,0.9502,0.9496,0.9506
"5",40,2,0.5,"t1",12.37784,21.67797,12.25119,12.84452,12.86891
"6",40,2,0.5,"t2",11.2498944706331,20.2113095714918,11.2257356726101,11.6813727845066,11.7038314990107
"7",40,2,0.5,"t3",0.665554,0.43305075,0.66872025,0.653887,0.65327725
"8",40,2,0.5,"coverage",0.9442,0.9448,0.9424,0.9612,0.9626
"9",40,2,0.9,"t1",10.69726,23.79948,12.4964,12.88154,12.90236
"10",40,2,0.9,"t2",9.70728096066517,22.4280132004074,11.3981780033366,11.7165796348118,11.7354179705635
"11",40,2,0.9,"t3",0.7075685,0.380013,0.66259,0.6529615,0.652441
"12",40,2,0.9,"coverage",0.9462,0.9228,0.9458,0.988,0.988
"13",40,3.6,0.1,"t1",7.67628,12.25858,7.44309,7.69957,7.71619
"14",40,3.6,0.1,"t2",6.83131748751338,11.1436254386189,6.79354837422028,6.8528656261409,6.86875606933178
"15",40,3.6,0.1,"t3",0.783093,0.6685355,0.78892275,0.78251075,0.78209525
"16",40,3.6,0.1,"coverage",0.9462,0.9216,0.9426,0.9496,0.9506
"17",40,3.6,0.5,"t1",7.36947,13.51111,7.87431,7.71647,7.73285
"18",40,3.6,0.5,"t2",6.54546146786415,12.2985396298791,7.1236249303678,6.87298826772773,6.888733697294
"19",40,3.6,0.5,"t3",0.79076325,0.63722225,0.77814225,0.78208825,0.78167875
"20",40,3.6,0.5,"coverage",0.9442,0.921,0.9492,0.9612,0.9626
"21",40,3.6,0.9,"t1",6.07563,14.09302,7.53754,7.76678,7.78397
"22",40,3.6,0.9,"t2",5.31776873923615,12.8343295905832,6.75751264094907,6.95576478494914,6.97211603270086
"23",40,3.6,0.9,"t3",0.82310925,0.6226745,0.7865615,0.7808305,0.78040075
"24",40,3.6,0.9,"coverage",0.9462,0.936,0.9522,0.988,0.988
"25",40,6,0.1,"t1",4.74638,7.95026,4.91118,4.76043,4.76972
"26",40,6,0.1,"t2",4.15870325521526,7.09774380887711,4.37524193356152,4.17093792383801,4.17938482839678
"27",40,6,0.1,"t3",0.8563405,0.7762435,0.8522205,0.85598925,0.855757
"28",40,6,0.1,"coverage",0.9462,0.9264,0.9454,0.9496,0.9506
"29",40,6,0.5,"t1",4.57973,8.39615,4.89424,4.76473,4.77345
"30",40,6,0.5,"t2",4.01692228169467,7.52015950843603,4.32577876645732,4.18270224369772,4.19036548796445
"31",40,6,0.5,"t3",0.86050675,0.76509625,0.852644,0.85588175,0.85566375
"32",40,6,0.5,"coverage",0.9442,0.9354,0.9468,0.9612,0.9626
"33",40,6,0.9,"t1",3.90192,8.33236,4.51302,4.77493,4.78388
"34",40,6,0.9,"t2",3.39511690985331,7.46379386062681,3.96247587198081,4.20974036276506,4.21743405671006
"35",40,6,0.9,"t3",0.877452,0.766691,0.8621745,0.85562675,0.855403
"36",40,6,0.9,"coverage",0.9462,0.8906,0.954,0.988,0.988
